,RT,m/z,Polarity,Area (Max.),ID,molec_class,Features Found,20211113_Ernie_nLipid_60min_r_1950_3.raw (F1),20211113_Ernie_nLipid_60min_r_1950_4.raw (F2),20211113_Ernie_nLipid_60min_r_1950_5.raw (F3),20211113_Ernie_nLipid_60min_15k_1950_1.raw (F4),20211113_Ernie_nLipid_60min_15k_1950_2.raw (F5),20211113_Ernie_nLipid_60min_15k_1950_3.raw (F6),mean,is_id,C,unsat,C_cat,unsat_cat
1743,17.528,283.16895,+,15667980.18,,,6,15667980.18,14135319.69,12817435.09,10214353.72,9653756.414,9537865.097,,False,,,,
1744,17.53,339.23196,+,218425506.4,,,6,218425506.4,200991362.4,176166607.4,151283874.1,141284583.0,150645785.4,,False,,,,
1745,17.532,508.3399,+,4285941.639,,,1,3193964.409,2906375.682,2300179.686,2424108.04,2989981.326,4285941.639,,False,,,,
1746,17.534,458.38385,+,17969070.89,,,6,16365147.53,16713260.69,14193855.45,15896251.07,17969070.89,17673556.49,,False,,,,
1747,17.534,1041.77856,+,1173639.385,,,4,608439.4146,699017.2117,454871.1741,904187.5176,639472.4656,1173639.385,,False,,,,
1748,17.535,719.57001,+,821248.4915,,,2,507249.7885,578553.1511,500400.6092,555571.3353,445710.6587,821248.4915,,False,,,,
1749,17.542,732.23407,+,26207591.51,,,6,26207591.51,23599044.19,25487337.59,24287263.25,23118215.14,26185073.44,,False,,,,
1750,17.545,598.48877,+,3348734.054,,,5,2931046.203,3111831.942,2273928.731,3153933.331,2802191.424,3348734.054,,False,,,,
1751,17.546,718.50214,+,2868824.517,,,1,1895448.228,1231823.606,1547799.546,1656878.222,2037328.696,2868824.517,,False,,,,
1752,17.546,544.42139,+,854225.2664,,,1,445964.3761,382718.6996,854225.2664,425628.4225,456209.9721,450520.7722,,False,,,,
1753,17.55,718.46545,+,947472.7268,,,1,129569.2382,452881.0088,256921.4204,537485.0867,567428.4281,947472.7268,,False,,,,
1754,17.553,756.48096,+,1119725.932,,,4,758450.3074,1119725.932,1037490.135,756838.7536,1076782.568,1034410.238,,False,,,,
1755,17.554,718.21851,+,12179482.35,,,6,11779998.72,12179482.35,11038594.85,10706139.56,9868808.002,12160900.31,,False,,,,
1756,17.556,576.40234,+,6849514.637,LysoPC 22:2,LysoPC,6,6193795.706,3434718.461,5037695.738,6543365.208,4528394.388,6849514.637,,True,22.0,2.0,22.0,2.0
1757,17.558,322.27402,+,90837911.54,,,6,80078167.33,69461584.59,71367554.43,86382349.81,69790016.78,90837911.54,,False,,,,
1758,17.558,349.21149,+,4295602.748,,,6,3615983.466,3116723.073,2524641.537,3759154.38,3841292.329,4295602.748,,False,,,,
1759,17.56,399.31012,+,14830929.29,,,6,12770944.33,13855769.99,14830929.29,12750567.4,11749333.57,13729561.73,,False,,,,
1760,17.562,801.33191,+,7410529.705,,,2,7410529.705,5012243.446,5303909.568,4482269.311,4370267.57,5511817.736,,False,,,,
1761,17.564,379.28189,+,78536721.49,,,4,71956230.12,65439463.9,78536721.49,70966826.54,75988121.94,62829399.07,,False,,,,
1762,17.564,758.24976,+,7190052.179,,,2,5079172.817,4261735.665,2464814.567,5026027.318,6452886.545,7190052.179,,False,,,,
1763,17.566,662.43903,+,66486890.35,,,4,45764707.85,20917377.73,56346119.3,53071212.49,55737910.68,66486890.35,,False,,,,
1764,17.566,804.29175,+,26652242.48,,,6,24965817.51,14350495.38,26652242.48,15706076.08,24636834.77,17769514.06,,False,,,,
1765,17.569,414.30029,+,2472340.238,,,5,2044056.418,1684026.953,1919707.436,1920715.959,1958381.321,2472340.238,,False,,,,
1766,17.571,454.33087,+,5280397.833,,,5,1916297.172,1917832.828,1893283.118,3568556.455,5280397.833,2094377.327,,False,,,,
1767,17.572,361.16696,+,4179493.628,,,6,4179493.628,3141617.333,3179866.929,3301536.929,2633766.809,2972102.558,,False,,,,
1768,17.578,709.55878,+,8695963.239,,,6,6480610.333,6136101.676,8528133.634,6497006.819,7000276.697,8695963.239,,False,,,,
1769,17.58,716.54919,+,2278143.422,,,1,2053163.733,2080693.056,2254140.013,1903911.264,2116125.466,2278143.422,,False,,,,
1770,17.58,771.53998,+,1035481.879,,,2,961153.7787,801830.831,852284.7102,1033700.802,852328.5768,1035481.879,,False,,,,
1771,17.582,703.53815,+,17672809.97,,,6,11288757.09,10663827.28,13448081.47,13305279.01,13873375.93,17672809.97,,False,,,,
1772,17.584,490.37338,+,7301235.92,,,5,4289461.369,4469640.466,7301235.92,4383457.34,4706925.074,4197151.199,,False,,,,
1773,17.586,409.29178,+,40838179.54,,,6,40838179.54,31778626.0,36627230.91,34643114.25,31188822.58,38946394.78,,False,,,,
1774,17.588,549.40839,+,3785325.391,,,3,3785325.391,2314766.733,2402503.491,1979409.077,1341299.403,1642200.751,,False,,,,
1775,17.589,256.22693,+,4721998.003,,,5,4381186.936,3558858.756,4721998.003,3677245.085,4260502.481,4503584.592,,False,,,,
1776,17.59,637.39246,+,5475720.87,,,6,4423430.158,3735271.257,4768294.072,4748444.781,5475720.87,4987872.2,,False,,,,
1777,17.591,635.54144,+,673678.7016,,,1,320187.7036,375568.2503,382737.4786,433750.0484,328750.2843,673678.7016,,False,,,,
1778,17.595,802.27637,+,44146810.17,,,1,14158903.59,33967434.37,8728311.466,44146810.17,6787457.139,42732773.05,,False,,,,
1779,17.597,406.3288,+,70139213.72,,,12,58811347.39,57793344.79,63444700.6,70139213.72,59314036.96,68168841.61,,False,,,,
1780,17.597,257.24734,+,12394113.21,,,5,10183061.87,10211720.68,12394113.21,8285176.864,9666619.907,11106825.19,,False,,,,
1781,17.598,695.54364,+,1336502.914,,,1,744185.2105,735578.3045,1122988.39,805958.5475,756368.6551,1336502.914,,False,,,,
1782,17.598,738.58643,+,652561.6336,,,1,366429.3553,435503.3228,499539.4123,297458.6694,152649.9965,652561.6336,,False,,,,
1783,17.601,353.26624,+,396574368.0,,,6,323971152.9,302952004.2,396574368.0,336359691.6,338772721.8,347084607.9,,False,,,,
1784,17.601,368.35193,+,5296879.614,,,2,5296879.614,4915738.597,4007297.401,3581476.042,3549459.791,3177641.231,,False,,,,
1785,17.601,690.53296,+,3049144.787,,,1,2702590.592,2630875.141,3049144.787,2494157.947,2828380.869,2988175.872,,False,,,,
1786,17.602,487.36285,+,6142724.498,LysoPE d-718:1,LysoPE,6,4660673.333,4064231.427,4938868.809,6142724.498,5001470.532,5635545.767,,True,718.0,1.0,718.0,1.0
1787,17.602,709.53992,+,1321063.096,,,2,1057140.388,595158.8649,1321063.096,908622.609,975953.0518,1232861.349,,False,,,,
1788,17.603,468.44171,+,1799190474.0,,,6,1799190474.0,1444287716.0,1347844984.0,1372791697.0,1370122993.0,1469793817.0,,False,,,,
1789,17.605,588.41064,+,24378277.36,,,6,18696613.15,16137858.8,19637136.52,19521544.77,20230667.65,24378277.36,,False,,,,
1790,17.607,551.21967,+,3160186.568,,,1,2579589.953,1013785.884,3156631.731,3160186.568,2913980.849,3126901.949,,False,,,,
1791,17.607,417.25522,+,1213518.33,,,3,1126769.741,1023157.196,1213518.33,797623.6403,929760.1459,915857.0877,,False,,,,
1792,17.608,249.22115,+,15855966.29,,,1,11747360.94,13170388.98,15855966.29,12705313.5,10841563.27,15125779.19,,False,,,,
1793,17.608,379.26285,+,1102223.312,,,1,1102223.312,855238.1704,872804.5657,750027.1564,826090.3999,807259.8581,,False,,,,
1794,17.61,1014.21082,+,929972.3451,,,1,744581.4906,798379.4634,916658.4213,855890.0592,929972.3451,809442.4958,,False,,,,
1795,17.612,1047.26978,+,972220.5001,,,1,602695.3246,615091.9249,955793.0651,938813.9808,572119.9125,972220.5001,,False,,,,
1796,17.612,779.63757,+,803577.9893,,,1,803577.9893,376515.1502,577493.1465,677007.5952,397638.0347,657969.5379,,False,,,,
1797,17.618,456.40475,+,5251129.583,AC 20:0,AC,4,5251129.583,4176373.089,4434309.619,3873351.775,5219172.193,4467090.735,,True,20.0,0.0,20.0,0.0
1798,17.618,483.23862,+,3577713.627,,,6,2951774.775,3352881.309,3577713.627,2961979.413,2857257.746,2746859.574,,False,,,,
1799,17.621,656.50983,+,1652613.007,,,3,1652613.007,1243752.582,1307830.243,1370553.367,1239471.506,1583980.766,,False,,,,
1800,17.631,538.38641,+,24741413.63,LysoPC 19:0,LysoPC,6,23000771.25,19308369.69,24704654.13,21726214.01,21568208.62,24741413.63,,True,19.0,0.0,19.0,0.0
1801,17.631,1106.78235,+,5747635.19,,,3,4325267.817,5747635.19,3896782.284,4311903.592,3866953.818,4416516.332,,False,,,,
1802,17.64,451.30313,+,6757815.634,,,6,4741342.929,5701566.02,6757815.634,5325372.666,6642385.113,5927038.447,,False,,,,
1803,17.644,684.46826,+,12632189.67,,,8,8629181.72,6496845.377,10964586.44,10116123.14,8616867.246,12632189.67,,False,,,,
1804,17.645,523.3241,+,8069084.525,,,2,5875381.702,7421732.943,5334480.112,8069084.525,5627630.85,5865826.335,,False,,,,
1805,17.649,385.23499,+,2006136.67,,,3,580775.5661,677990.5545,1446152.588,2006136.67,682691.0152,1579286.038,,False,,,,
1806,17.653,750.24463,+,5784730.383,,,6,5784730.383,5118555.914,5327393.507,5414322.035,4438843.636,5227704.508,,False,,,,
1807,17.666,653.19635,+,826359.173,,,1,786262.8066,661063.9915,770685.9537,732496.0199,710901.3414,826359.173,,False,,,,
1808,17.666,485.46777,+,398314.2035,,,1,263592.6934,256095.0411,92897.79991,398314.2035,396297.7973,392266.5874,,False,,,,
